Algorithm,Function,Value
DifferentialEvolution,sphere,40.71880279766105
DifferentialEvolution,schwefel,11902.675077340307
DifferentialEvolution,rosenbrock,665719.8540343099
DifferentialEvolution,rastrigin,282.00971531619393
DifferentialEvolution,griewank,2.0867634377103528
DifferentialEvolution,levy,83.93185901464241
DifferentialEvolution,michalewicz,-11.99550208231901
DifferentialEvolution,zakharov,905.2699137160594
DifferentialEvolution,ackley,18.486277069734896
FireflyAlgorithm,sphere,168.3569594000001
FireflyAlgorithm,schwefel,12383.718372406287
FireflyAlgorithm,rosenbrock,2572003.667634177
FireflyAlgorithm,rastrigin,399.32354515864904
FireflyAlgorithm,griewank,5.400011938016529
FireflyAlgorithm,levy,190.07339593598672
FireflyAlgorithm,michalewicz,-8.643560753317242
FireflyAlgorithm,zakharov,23652.360146189745
FireflyAlgorithm,ackley,20.707954137596403
ParticleSwarmOptimization,sphere,2.889736180200024
ParticleSwarmOptimization,schwefel,11829.167833369389
ParticleSwarmOptimization,rosenbrock,1364.1167189389753
ParticleSwarmOptimization,rastrigin,189.50823027271048
ParticleSwarmOptimization,griewank,1.0674234023140474
ParticleSwarmOptimization,levy,24.137429985679457
ParticleSwarmOptimization,michalewicz,-11.509808879775683
ParticleSwarmOptimization,zakharov,579.671546696485
ParticleSwarmOptimization,ackley,8.33894180549047
SelfOrganizingMigrationAlgorithm,sphere,32.49971454526979
SelfOrganizingMigrationAlgorithm,schwefel,11916.226532956332
SelfOrganizingMigrationAlgorithm,rosenbrock,154365.17124181017
SelfOrganizingMigrationAlgorithm,rastrigin,113.82010740969437
SelfOrganizingMigrationAlgorithm,griewank,1.3499422002996684
SelfOrganizingMigrationAlgorithm,levy,20.04336898154345
SelfOrganizingMigrationAlgorithm,michalewicz,-17.621289294508866
SelfOrganizingMigrationAlgorithm,zakharov,283.2624802976247
SelfOrganizingMigrationAlgorithm,ackley,14.926011153017583
TeachingLearningBasedOptimization,sphere,1.4796446277717874
TeachingLearningBasedOptimization,schwefel,12177.469852238748
TeachingLearningBasedOptimization,rosenbrock,746.957892573286
TeachingLearningBasedOptimization,rastrigin,221.5215093649125
TeachingLearningBasedOptimization,griewank,1.0272973156052354
TeachingLearningBasedOptimization,levy,2.3340822372110472
TeachingLearningBasedOptimization,michalewicz,-10.257404496704128
